renda,escolaridade,faixa_etaria
1200,Fundamental Incompleto,18-25
800,Médio Completo,26-35
1500,Superior Completo,36-45
600,Fundamental Completo,18-25
2000,Pós-graduação,46-55
950,Médio Incompleto,26-35
700,Fundamental Incompleto,18-25
1800,Superior Incompleto,36-45
400,Fundamental Completo,18-25
2200,Superior Completo,46-55
1100,Médio Completo,26-35
850,Fundamental Incompleto,18-25
1600,Superior Completo,36-45
750,Médio Incompleto,18-25
2100,Pós-graduação,46-55
950,Médio Completo,26-35
650,Fundamental Completo,18-25
1900,Superior Incompleto,36-45
500,Fundamental Incompleto,18-25
2300,Pós-graduação,46-55
1000,Médio Completo,26-35
800,Fundamental Completo,18-25
1700,Superior Completo,36-45
700,Médio Incompleto,18-25
2000,Pós-graduação,46-55
900,Médio Completo,26-35
600,Fundamental Incompleto,18-25
1850,Superior Incompleto,36-45
450,Fundamental Completo,18-25
2250,Superior Completo,46-55
1050,Médio Completo,26-35
820,Fundamental Incompleto,18-25
1650,Superior Completo,36-45
720,Médio Incompleto,18-25
2150,Pós-graduação,46-55
970,Médio Completo,26-35
670,Fundamental Completo,18-25
1950,Superior Incompleto,36-45
520,Fundamental Incompleto,18-25
2350,Pós-graduação,46-55
413,Fundamental Completo,36-45
548,Médio Completo,46-55
1185,Pós-graduação,46-55
1662,Pós-graduação,26-35
1010,Superior Incompleto,18-25
1259,Fundamental Completo,36-45
1876,Fundamental Incompleto,36-45
1119,Pós-graduação,18-25
1912,Pós-graduação,36-45
1448,Médio Completo,36-45
2212,Pós-graduação,46-55
1693,Pós-graduação,36-45
1793,Médio Incompleto,46-55
1885,Fundamental Incompleto,26-35
1685,Superior Incompleto,18-25
2036,Superior Incompleto,26-35
485,Superior Completo,26-35
2101,Médio Incompleto,26-35
2355,Médio Completo,18-25
1328,Pós-graduação,26-35
1295,Médio Incompleto,46-55
1155,Pós-graduação,26-35
977,Fundamental Incompleto,18-25
853,Pós-graduação,46-55
1428,Superior Completo,26-35
475,Fundamental Completo,36-45
808,Médio Completo,46-55
2383,Fundamental Completo,36-45
1492,Médio Incompleto,46-55
1679,Superior Incompleto,26-35
1808,Superior Incompleto,26-35
707,Superior Completo,18-25
931,Pós-graduação,36-45
1000,Superior Incompleto,18-25
1167,Superior Completo,46-55
1614,Superior Completo,46-55
1332,Médio Completo,26-35
1329,Pós-graduação,18-25
1474,Médio Incompleto,46-55
1298,Superior Incompleto,36-45
